Gene,logFC,P.Value,t,adj.P.Val,Significant
MEX3B,-0.43406408838474064,0.015890084131582452,-2.454055848369588,0.04171472168094641,False
LOC157740,-0.3999521730357145,0.015915477529354252,-2.4534453756533727,0.041775819676329116,False
XLOC_012588,-0.46846840817045443,0.015915962222072772,-2.4534337318058985,0.041775819676329116,False
LOC340178,0.4413703581850652,0.015920946549308625,2.4533140109119875,0.041785483539378276,False
LRRC37B,0.12137044625487015,0.015929399875455136,2.4531110429850753,0.04180424967315124,False
LOC283624,-0.29392324297564887,0.015941844464785193,-2.4528124180585613,0.04183109772425335,False
GLRX3,-0.11854039851461096,0.015942238178825483,-2.452802973748841,0.04183109772425335,False
GMPPB,-0.3934414514512987,0.015953598175099244,-2.4525305627599274,0.0418574817581732,False
PRRG4,0.39557728101948086,0.015965817963082815,2.4522377273505107,0.04188611712918684,False
RNF168,0.18339964920779117,0.015984666602801338,2.4517864300049914,0.0419321371017963,False
EIF5,0.1946976670633127,0.015993320521310136,2.451579386333508,0.041951408203076794,False
XLOC_008171,0.5697975361639624,0.016000236016123683,2.4514140060588985,0.04196611653971447,False
FAM108A1,-0.11398303506493335,0.016010476362431768,-2.4511692309378397,0.04198954232397082,False
XLOC_010782,0.396277046876623,0.016021300449529253,2.450910654533119,0.04201235460495492,False
XLOC_009113,-0.47193800824675414,0.016021793835318533,-2.4508988717660323,0.04201235460495492,False
LOC647107,0.4268976302094156,0.016026965648670573,2.4507753808616592,0.04201561314123984,False
IGANRP,0.3721618812191565,0.01602467562600385,2.450830056901405,0.04201561314123984,False
SLC27A1,0.23725648868506433,0.016026852623138573,2.450778079268938,0.04201561314123984,False
RPS4Y1,-1.7975305843003238,0.01604512760587026,-2.450341997057451,0.042059788657976625,True
DCP2,-0.27274794791233603,0.01604786441961065,-2.450276728694659,0.042063525662317976,False
XLOC_010204,-0.5312031716737011,0.016052717194625078,-2.450161022669261,0.04207280781074939,False
CTAGE1,0.3704712861672066,0.016056561798766834,2.450069376897092,0.042079446328277106,False
XLOC_010715,-0.5165738710519476,0.016073543854403093,-2.449664801233135,0.04212051028012181,False
TLL1,-0.5091448248944812,0.016082800360890725,-2.449444437477141,0.04214132447744625,False
XLOC_005470,-0.4189897039301953,0.016088681424191533,-2.4493044895473557,0.04215329141522904,False
SLC29A4,-0.34713863207305096,0.016091672781065613,-2.449233323643825,0.04215768581597263,False
XLOC_013310,0.4345036382889611,0.016106687544558004,2.4488762930413324,0.04219357638652791,False
TAS2R10,-0.349187624461039,0.016110754404460782,-2.4487796397825274,0.04220078397118494,False
XLOC_007801,-0.5349652984269486,0.01614348585731743,-2.448002533795145,0.042283068770635465,False
CLIC3,-0.3556531449334406,0.016149825801950873,-2.4478521742131134,0.042294105755116794,False
GABRR1,0.46327880694967494,0.016150336518085433,2.447840064244723,0.042294105755116794,False
MRPS18C,-0.15278133233766233,0.016154934705337055,-2.4477310486091555,0.042302694094132134,False
MST1P2,0.38528948390422,0.01616098112141329,2.447587739931279,0.04231507299828096,False
BTBD1,-0.11244822941558397,0.016172339078272143,-2.4473186694736886,0.04233790090019344,False
PPP2R1B,0.3368158670259742,0.016171285032315193,2.4473436327653366,0.04233790090019344,False
MCRS1,0.18302363575162417,0.016174098579245306,2.4472770019103143,0.042339052013234554,False
LOC100506655,0.4415895998019481,0.016193933865260957,2.4468075528581164,0.04238751618779141,False
FAM105B,0.29787684808928727,0.016211113930389025,2.446401360381556,0.04242902299803214,False
