Gene,Importance
XLOC_001197,0.0012518205308902984
XLOC_013275,0.0012486799986799989
COG1,0.0012477350344997403
PLBD1,0.0012461538461538456
FRMPD2,0.0012457912457912459
TTLL1,0.0012457912457912456
TEP1,0.001241490636839474
CDH3,0.0012372036427690906
KIF22,0.0012310043715373959
ATP5J2,0.0012310043715373959
LOC150622,0.0012304779401553596
KIF1C,0.0012304779401553596
GYPC,0.0012297341881060662
LILRB1,0.0012288943355119825
BPGM,0.0012262405382674518
C14orf132,0.0012224945533769063
FLCN,0.0012222222222222222
XLOC_l2_007424,0.0012176249540590627
C9orf82,0.0012081784710777342
TPK1,0.0012076238390092877
TRIM8,0.0012076238390092877
TMEM223,0.0012076238390092877
APOO,0.0012076238390092877
NACA,0.0012059553349875933
HERC2,0.001205955334987593
XLOC_003482,0.001205955334987593
ADAT3,0.001205110673155559
TNFRSF10D,0.0012023934233236562
ST8SIA5,0.0011958031400966182
SCG3,0.001194674056986629
FAM47E,0.0011941031941031942
RHOBTB2,0.0011940789473684208
MRPL32,0.0011923076923076924
HN1L,0.0011923076923076924
ZFYVE20,0.0011912708600770217
ZGPAT,0.0011896279208851296
SLC8A2,0.0011896279208851296
C22orf31,0.0011896279208851294
CASS4,0.0011896279208851294
CPXM1,0.0011895075766043509
C1QB,0.0011895075766043509
C5AR1,0.0011895075766043509
PPP1R18,0.0011877171572095301
RASAL3,0.0011877171572095301
RHOT2,0.0011860465116279068
PDE7B,0.0011859078244997896
SPCS1,0.001185444078947368
SLC31A2,0.001173611111111111
STAB1,0.001173611111111111
GALNTL5,0.001171068124474348
ADHFE1,0.0011657376076567502
XLOC_009323,0.00116573760765675
AGL,0.0011649285829873732
BCAP29,0.001164868499233824
PCGF6,0.0011609977324263038
LOC100507006,0.0011606280193236717
SART1,0.0011564635845196117
CECR6,0.0011564635845196117
MEAF6,0.0011564635845196115
XLOC_003474,0.0011564635845196115
CHRDL2,0.0011553371553371555
MRPS25,0.0011553371553371555
MRPS30,0.0011553371553371555
PHB2,0.0011496598639455782
MRPL15,0.0011486493269940983
MYO10,0.0011407892806494207
LOC283070,0.0011392473210655029
KIF1B,0.001135047816420855
